Git Version: 4f1f8bf6
    T,N,0,1,5120,8192,5120,1,5120,26214400,0,5120,41943040,5120,41943040,5120,41943040,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,618813,295.474,694.066,112975,gfx942:sramecc+:xnack-,304
    N,T,0,1,5120,5120,8192,1,5120,41943040,0,5120,41943040,5120,26214400,5120,26214400,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,586135,279.87,732.761,69755,gfx942:sramecc+:xnack-,304
    T,N,0,1,5120,8192,13824,1,13824,70778880,0,13824,113246208,5120,41943040,5120,41943040,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,627179,227.638,1848.98,112972,gfx942:sramecc+:xnack-,304
    N,N,0,1,13824,8192,5120,1,13824,70778880,0,5120,41943040,13824,113246208,13824,113246208,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,663726,240.903,1747.17,85002,gfx942:sramecc+:xnack-,304
    T,N,0,1,15360,8192,5120,1,5120,78643200,0,5120,41943040,15360,125829120,15360,125829120,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,627268,223.445,2054.13,105187,gfx942:sramecc+:xnack-,304
    N,N,0,1,5120,8192,27648,1,5120,141557760,0,27648,226492416,5120,41943040,5120,41943040,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,625214,205.865,3709.58,85006,gfx942:sramecc+:xnack-,304
    N,N,0,1,5120,8192,5120,1,5120,26214400,0,5120,41943040,5120,41943040,5120,41943040,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,615478,293.882,697.826,85005,gfx942:sramecc+:xnack-,304
    T,N,0,1,27648,8192,5120,1,5120,141557760,0,5120,41943040,27648,226492416,27648,226492416,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,633730,208.669,3659.73,105086,gfx942:sramecc+:xnack-,304
    N,N,0,1,5120,8192,32128,1,5120,164495360,0,32128,263192576,5120,41943040,5120,41943040,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,644737,209.265,4180.14,85000,gfx942:sramecc+:xnack-,304
    N,T,0,1,5120,32128,8192,1,5120,41943040,0,32128,263192576,5120,164495360,5120,164495360,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,629476,204.311,4281.49,69753,gfx942:sramecc+:xnack-,304
    T,N,0,1,32128,8192,5120,1,5120,164495360,0,5120,41943040,32128,263192576,32128,263192576,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,657508,213.41,4098.95,105252,gfx942:sramecc+:xnack-,304
    N,N,0,1,5120,8192,15360,1,5120,78643200,0,15360,125829120,5120,41943040,5120,41943040,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,619492,220.675,2079.91,85006,gfx942:sramecc+:xnack-,304
    N,T,0,1,13824,5120,8192,1,13824,113246208,0,5120,41943040,13824,70778880,13824,70778880,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,605024,219.597,1916.69,69754,gfx942:sramecc+:xnack-,304
    N,T,0,1,5120,27648,8192,1,5120,41943040,0,27648,226492416,5120,141557760,5120,141557760,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,633671,208.649,3660.07,69761,gfx942:sramecc+:xnack-,304
    N,T,0,1,5120,15360,8192,1,5120,41943040,0,15360,125829120,5120,78643200,5120,78643200,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,650168,231.602,1981.78,69754,gfx942:sramecc+:xnack-,304
    N,N,0,1,5120,12288,5120,1,5120,26214400,0,5120,62914560,5120,62914560,5120,62914560,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,643920,283.06,1000.51,84989,gfx942:sramecc+:xnack-,304
    T,N,0,1,5120,12288,5120,1,5120,26214400,0,5120,62914560,5120,62914560,5120,62914560,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,620382,272.713,1038.46,112991,gfx942:sramecc+:xnack-,304
    N,N,0,1,5120,12288,15360,1,5120,78643200,0,15360,188743680,5120,62914560,5120,62914560,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,658027,209.465,2937.17,84989,gfx942:sramecc+:xnack-,304
    N,T,0,1,13824,5120,12288,1,13824,169869312,0,5120,62914560,13824,70778880,13824,70778880,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,631588,205.304,2754.11,69766,gfx942:sramecc+:xnack-,304
    T,N,0,1,15360,12288,5120,1,5120,78643200,0,5120,62914560,15360,188743680,15360,188743680,bf16_r,bf16_r,bf16_r,bf16_r,f32_r,0,0,0,0,0,none,0,f32_r,512,665118,211.723,2905.85,105718,gfx942:sramecc+:xnack-,304
